,Danceability,Energy,Valence,Tempo,Song ID,Date Added
0,0.481,0.765,0.465,102.829,2VcS3oKcOPkubN9LVzZ96l,2020-09-01
1,0.8,0.658,0.462,140.042,2DQNYMRjisN3KAPj1bEwOI,2020-08-30
2,0.7,0.722,0.756,90.989,3tjFYV6RSFtuktYl3ZtYcq,2020-08-28
3,0.728,0.685,0.33,124.934,70rFIfYN7lU6iTgUIVP42w,2020-08-23
4,0.644,0.59,0.669,87.915,6XemQkX3lgqDC21nNdbdVw,2020-08-21
5,0.829,0.395,0.37,160.05,6uV503qeIXXoBTuCt68AN5,2020-08-18
6,0.682,0.659,0.597,80.029,5j6kKbpGkeARqyQw3X3h11,2020-08-11
7,0.593,0.581,0.253,88.003,66bTZGhreEfonDPRlwyGTD,2020-08-04
8,0.917,0.491,0.375,112.027,0YGrNocW1hKmZFixU2T6RR,2020-08-03
9,0.77,0.68,0.37,107.024,7iDFuSWvN0DTNy3gxUwsBn,2020-08-03
10,0.607,0.478,0.255,88.979,4zRZAmBQP8vhNPf9i9opXt,2020-07-31
11,0.461,0.593,0.175,134.17,09mEdoA6zrmBPgTEN5qXmN,2020-07-30
12,0.673,0.331,0.717,83.356,0J5gfd8SqHTNglFt90xcy8,2020-07-29
13,0.737,0.548,0.156,160.058,5DPASDOoVakOcD8EIhb46T,2020-07-29
14,0.559,0.572,0.216,136.014,6QRkUg9vc47tCfL93fIqP3,2020-07-29
15,0.409,0.437,0.149,141.961,5Z4mLHUiNoc23UktrfthED,2020-07-29
16,0.711,0.462,0.294,84.04,49VzL5oBsUICN7U34T98b9,2020-07-29
17,0.694,0.259,0.295,93.023,5sOW5hiIFFjtS51KMlWwt1,2020-07-29
18,0.704,0.599,0.539,118.886,5712GbGUZYvWjMGx1ACJu4,2020-07-25
19,0.665,0.513,0.211,110.079,37woey8u5KwllpsryjAHIC,2020-07-25
20,0.747,0.622,0.57,159.93,2fZTS0VboxRpF0FdfY7E5P,2020-07-21
21,0.904,0.723,0.835,145.013,2MbdDtCv5LUVjYy9RuGTgC,2020-07-12
22,0.655,0.877,0.893,105.017,3QHMxEOAGD51PDlbFPHLyJ,2020-07-10
23,0.734,0.614,0.636,121.934,4zZyTwwwZFJhRe0oBElIia,2020-07-08
24,0.893,0.776,0.229,91.987,3rnDyg4f2oRsWmXdZVFD1Y,2020-07-01
25,0.499,0.8,0.272,139.919,7CZyCXKG6d5ALeq41sLzbw,2020-06-30
26,0.497,0.706,0.55,103.0,2yJVeT8cP1zstJxRP7Nlv8,2020-06-30
27,0.818,0.641,0.487,124.995,4st62g8wI2AVOrwXjuEVwy,2020-06-30
28,0.506,0.503,0.429,150.031,7yBPEhpLJmSJxWffGwCCTx,2020-06-26
29,0.73,0.614,0.483,106.874,2XaPHwIy6L7WaUFJqMhc8n,2020-06-25
30,0.69,0.502,0.329,86.185,2yTTfOaptQVJiocgjoQFfi,2020-06-24
31,0.605,0.619,0.313,109.004,2iR0hlqkAWmWDZiNE1fsS8,2020-06-24
32,0.643,0.729,0.263,173.952,4W4aQlY2O5np3LYpUkhdSU,2020-06-24
33,0.801,0.585,0.532,99.996,7GY3zgp2k4ZiRWpuDJn0hR,2020-06-22
34,0.709,0.362,0.113,122.043,0PXp9QxBfSKGGpWUNaws2X,2020-06-22
35,0.667,0.719,0.717,100.021,7szuecWAPwGoV1e5vGu8tl,2020-06-10
36,0.715,0.584,0.619,141.959,0rhgOpSJgUEDDJ6rQE4ElW,2020-06-03
37,0.764,0.705,0.672,101.003,0y60itmpH0aPKsFiGxmtnh,2020-05-27
38,0.686,0.541,0.724,120.082,6ap9lSRJ0iLriGLqoJ44cq,2020-05-26
39,0.59,0.705,0.803,120.874,3rOD3MfHaXawznE0vrjM5B,2020-05-20
40,0.878,0.525,0.694,112.022,1Cv1YLb4q0RzL6pybtaMLo,2020-05-18
41,0.841,0.728,0.43,130.049,6gBFPUFcJLzWGx4lenP6h2,2020-05-04
42,0.707,0.725,0.459,113.992,2Jn7qajAh1g6Ql6h191Ip9,2020-04-30
43,0.226,0.525,0.1,85.33,4r97G0eBNo2xe14TOhK9f8,2020-04-29
44,0.87,0.222,0.199,132.988,2Eh0J9SM2SzKnw5spcHJ1B,2020-04-27
45,0.546,0.728,0.335,128.045,2Qq8sISCzmqnDamNNBnSh1,2020-04-27
46,0.746,0.69,0.497,89.977,7ytR5pFWmSjzHJIeQkgog4,2020-04-23
