,Danceability,Energy,Valence,Tempo,In Liked Songs
0,0.829,0.395,0.37,160.05,1.0
1,0.676,0.534,0.156,145.082,1.0
2,0.602,0.749,0.194,168.038,1.0
3,0.803,0.759,0.284,104.0,1.0
4,0.728,0.685,0.33,124.934,1.0
5,0.667,0.719,0.717,100.021,1.0
6,0.69,0.502,0.329,86.185,1.0
7,0.631,0.8,0.857,87.482,0.0
8,0.728,0.685,0.33,124.934,1.0
9,0.7,0.722,0.756,90.989,1.0
10,0.7,0.722,0.756,90.989,1.0
11,0.728,0.685,0.33,124.934,1.0
12,0.7,0.722,0.756,90.989,1.0
13,0.8,0.658,0.462,140.042,1.0
14,0.829,0.395,0.37,160.05,1.0
15,0.644,0.59,0.669,87.915,1.0
16,0.728,0.685,0.33,124.934,1.0
17,0.7,0.722,0.756,90.989,1.0
18,0.481,0.765,0.465,102.829,1.0
19,0.481,0.765,0.465,102.829,1.0
20,0.481,0.765,0.465,102.829,1.0
21,0.462,0.475,0.04,80.033,0.0
22,0.47,0.623,0.298,77.861,0.0
23,0.728,0.685,0.33,124.934,1.0
24,0.7,0.722,0.756,90.989,1.0
25,0.8,0.658,0.462,140.042,1.0
26,0.789,0.661,0.945,100.114,0.0
27,0.59,0.578,0.264,81.663,0.0
28,0.595,0.723,0.272,108.043,0.0
29,0.647,0.661,0.725,98.042,0.0
30,0.708,0.875,0.728,109.949,0.0
31,0.505,0.917,0.304,163.936,0.0
32,0.577,0.798,0.397,103.036,0.0
33,0.764,0.661,0.479,92.018,1.0
34,0.626,0.826,0.788,107.073,0.0
35,0.672,0.642,0.656,123.984,0.0
36,0.454,0.66,0.568,184.353,0.0
37,0.728,0.685,0.33,124.934,1.0
38,0.7,0.722,0.756,90.989,1.0
39,0.8,0.658,0.462,140.042,1.0
40,0.644,0.59,0.669,87.915,1.0
41,0.728,0.685,0.33,124.934,1.0
42,0.7,0.722,0.756,90.989,1.0
43,0.607,0.478,0.255,88.979,1.0
44,0.77,0.68,0.37,107.024,1.0
45,0.917,0.491,0.375,112.027,1.0
46,0.593,0.581,0.253,88.003,1.0
47,0.682,0.659,0.597,80.029,1.0
48,0.829,0.395,0.37,160.05,1.0
49,0.644,0.59,0.669,87.915,1.0
